shock,est_liq,p25,p75
-0.3,17.000000000000124,21.0,110.5
-0.29,17.000000000001094,21.0,110.5
-0.27999999999999997,17.00000000000972,21.0,110.5
-0.26999999999999996,17.0000000000865,21.0,110.5
-0.25999999999999995,17.00000000076971,21.0,110.5
-0.24999999999999994,17.00000000684955,21.0,110.5
-0.23999999999999994,17.000000060956587,21.0,110.5
-0.22999999999999993,17.000000542509238,21.0,110.5
-0.21999999999999992,17.000004828651225,21.0,110.5
-0.2099999999999999,17.0000429815231,21.0,110.5
-0.1999999999999999,17.00038263137583,21.0,110.5
-0.1899999999999999,17.003406638331587,21.0,110.5
-0.17999999999999988,17.030331838760816,21.0,110.5
-0.16999999999999987,17.269930994044575,21.0,110.5
-0.15999999999999986,19.387872248865406,21.0,110.5
-0.14999999999999986,36.97707605677772,21.0,110.5
-0.13999999999999985,129.38452160045972,21.0,110.5
-0.12999999999999984,230.78939847639563,21.0,110.5
-0.11999999999999983,204.30774073842176,21.0,110.5
-0.10999999999999982,116.3785823804809,26.0,110.5
-0.09999999999999981,64.56676046005961,26.0,110.5
-0.0899999999999998,82.17833027650302,16.0,110.5
-0.0799999999999998,86.99818495121117,20.5,110.5
-0.06999999999999978,76.56689323368262,5.5,89.5
-0.059999999999999776,16.417647551200723,4.5,6.0
-0.04999999999999977,19.866094122567905,2.5,33.5
